model_name,mean_squared_error,root_mean_squared_error,mean_absolute_error,r2_score
LinearRegression,25082495081.541527,158374.54050933037,109660.93022726545,0.6978150802589416
DecisionTreeRegressor,31438823401.34284,177309.96419080018,105733.27267245538,0.621236312599559
RandomForestRegressor,21559745515.70376,146832.3721653497,84421.6562439265,0.7402559056776189
GradientBoostingRegressor,22327612505.52875,149424.27013550626,91675.03459334788,0.7310049191255341
SVR,87596857352.063,295967.6626796634,226748.13968355206,-0.05533557257555222
MLPRegressor,281578945460.1499,530640.1280153526,447536.400103723,-2.3923623131601874
XGBRegressor,24513358755.57476,156567.4255890246,89271.6037756648,0.7046718309300721
LGBMRegressor,20746471739.850292,144036.3556184698,83420.28282481438,0.7500539369294876
CatBoostRegressor,19651492014.618324,140183.77942764392,82666.18851748873,0.76324586059225
