iter	RMSE
482	72068.49849
483	72047.35684
484	72012.59791
485	71983.03403
486	71951.79087
487	71908.43122
488	71890.28155
489	71852.16794
490	71831.8351
491	71811.23727
492	71781.1726
493	71753.78323
494	71733.52165
495	71708.4247
496	71667.72687
497	71636.37556
498	71597.45223
499	71576.2179
500	71537.23062
501	71491.02391
502	71464.06988
503	71440.06978
504	71419.60639
505	71382.65604
506	71354.51904
507	71330.16965
508	71296.99028
509	71274.60706
510	71249.14554
511	71222.67984
512	71176.9097
513	71152.9552
514	71125.55243
515	71074.31295
516	71048.78163
517	71010.70266
518	70971.36516
519	70937.90498
520	70904.3431
521	70875.29788
522	70851.97898
523	70815.41391
524	70792.3074
525	70761.83282
526	70726.4993
527	70703.09985
528	70654.96047
529	70609.88689
530	70591.76086
531	70562.69101
532	70528.28166
533	70507.96905
534	70455.20372
535	70409.49571
536	70377.27767
537	70357.12688
538	70321.73984
539	70303.61017
540	70270.85717
541	70243.75011
542	70224.38664
543	70195.16488
544	70169.12089
545	70141.41084
546	70112.61297
547	70080.05474
548	70051.28389
549	70022.79623
550	70004.23461
551	69968.01296
552	69933.24378
553	69889.5255
554	69864.01038
555	69831.83997
556	69798.53661
557	69773.50533
558	69747.15473
559	69723.05943
560	69703.41157
561	69676.93471
562	69668.03008
563	69642.54872
564	69610.1555
565	69591.61962
566	69559.98079
567	69531.13276
568	69496.45411
569	69464.65428
570	69436.09176
571	69414.46321
572	69364.31645
573	69350.01034
574	69328.92686
575	69312.49739
576	69293.08282
577	69268.44623
578	69243.30782
579	69207.98964
580	69169.45983
581	69122.37492
582	69083.43422
583	69050.99324
584	69026.91082
585	69002.68126
586	68981.68497
587	68958.55819
588	68926.60683
589	68890.19717
590	68880.37382
591	68843.46772
592	68830.1733
593	68797.66611
594	68769.59897
595	68724.37469
596	68690.83657
597	68668.23266
598	68637.13588
599	68611.80683
600	68594.61112
601	68565.67608
602	68545.43182
603	68510.95549
604	68492.23375
605	68465.70309
606	68448.38508
607	68410.40789
608	68382.30609
609	68356.43502
610	68335.18333
611	68307.85828
612	68284.22471
613	68264.19513
614	68242.52483
615	68231.26094
616	68186.25992
617	68157.9719
618	68138.16472
619	68125.77531
620	68099.40871
621	68079.34464
622	68056.92028
623	68044.12453
624	68024.71162
625	67999.6847
626	67975.59755
627	67945.73542
628	67904.30849
629	67873.72854
630	67859.57805
631	67830.21603
632	67806.47105
633	67772.1738
634	67753.66573
635	67740.13014
636	67726.62327
637	67704.58925
638	67681.83979
639	67662.12046
640	67631.24679
641	67600.74847
642	67577.92393
643	67554.00092
644	67523.48414
645	67500.75955
646	67470.11972
647	67453.18566
648	67430.35025
649	67405.25712
650	67386.88158
651	67375.18688
652	67344.18207
653	67320.16025
654	67306.90166
655	67286.29068
656	67271.07248
657	67259.2046
658	67239.48271
659	67215.57777
660	67187.07427
661	67171.5722
662	67144.84163
663	67129.56235
664	67107.91082
665	67087.62066
666	67060.141
667	67047.56837
668	67033.03563
669	67016.72998
670	67004.14432
671	66971.02836
672	66948.83234
673	66932.96235
674	66917.47389
675	66891.98897
676	66865.67718
677	66838.9193
678	66815.42601
679	66787.25528
680	66767.92193
681	66749.92239
682	66730.91352
683	66714.92466
684	66690.42103
685	66667.44318
686	66630.36852
687	66590.24859
688	66572.88151
689	66557.65525
690	66538.55531
691	66512.64241
692	66494.09232
693	66463.73678
694	66447.49988
695	66416.52128
696	66391.01034
697	66366.08711
698	66342.91658
699	66329.35555
700	66314.58374
701	66295.06341
702	66272.56215
703	66252.97512
704	66237.77647
705	66213.75089
706	66198.99893
707	66167.15308
708	66136.37633
709	66113.50978
710	66090.42262
711	66070.29979
712	66047.55286
713	66027.37459
714	66011.84701
715	65993.90542
716	65969.90566
717	65953.09709
718	65933.41654
719	65925.30668
720	65898.16417
721	65869.58649
722	65844.54439
723	65823.44011
724	65809.20373
725	65793.38271
726	65774.27613
727	65763.51888
728	65744.01453
729	65708.24956
730	65678.23658
731	65652.26126
732	65633.41243
733	65617.85182
734	65606.74165
735	65582.47126
736	65566.96412
737	65550.7076
738	65532.90612
739	65514.6983
740	65493.92035
741	65470.27773
742	65436.68361
743	65398.98177
744	65380.0862
745	65361.5651
746	65341.17297
747	65324.44337
748	65313.66302
749	65302.51515
750	65294.91377
751	65283.28009
752	65258.33263
753	65227.60706
754	65209.73721
755	65187.08657
756	65172.55573
757	65145.07066
758	65125.85133
759	65102.08633
760	65088.81142
761	65071.01712
762	65059.70353
763	65034.77299
764	65012.82994
765	64990.91217
766	64976.52911
767	64959.61689
768	64938.00025
769	64928.09938
770	64917.30026
771	64897.25454
772	64883.74006
773	64861.19614
774	64838.51948
775	64819.39637
776	64805.4863
777	64780.54072
778	64765.56869
779	64742.80036
780	64716.43233
781	64696.70929
782	64681.44575
783	64659.90169
784	64636.95367
785	64615.79059
786	64594.572
787	64572.07452
788	64556.36979
789	64530.04479
790	64516.93056
791	64493.54212
792	64479.81132
793	64463.90246
794	64439.48486
795	64426.86318
796	64407.73073
797	64396.69653
798	64384.57463
799	64368.83633
800	64349.49169
801	64332.89888
802	64313.15129
803	64299.23356
804	64282.7754
805	64256.9005
806	64237.73331
807	64221.35646
808	64204.55762
809	64177.72582
810	64164.31463
811	64144.7
812	64124.72076
813	64104.73237
814	64075.97516
815	64063.16475
816	64045.08856
817	64033.8301
818	64016.92425
819	63997.49108
820	63983.08389
821	63956.12608
822	63941.65818
823	63914.89082
824	63905.62973
825	63888.01537
826	63862.10802
827	63846.56273
828	63818.83404
829	63808.44239
830	63796.26282
831	63769.44943
832	63760.3814
833	63749.0062
834	63730.50247
835	63718.53114
836	63708.20932
837	63691.13479
838	63665.27202
839	63649.19258
840	63636.22718
841	63616.77484
842	63601.86033
843	63588.39661
844	63558.41199
845	63539.87394
846	63515.27809
847	63499.16961
848	63470.79578
849	63441.47209
850	63426.99813
851	63408.57386
852	63384.06246
853	63367.7641
854	63354.09717
855	63343.25199
856	63326.72974
857	63318.91509
858	63301.00672
859	63287.24037
860	63259.38404
861	63226.03269
862	63207.65256
863	63193.93079
864	63182.28256
865	63175.4481
866	63164.98207
867	63148.73215
868	63123.95369
869	63113.82311
870	63101.10678
871	63084.99396
872	63066.58062
873	63054.1875
874	63046.62534
875	63025.03837
876	63011.80804
877	62996.51278
878	62972.07999
879	62962.04272
880	62944.48915
881	62926.85459
882	62913.55639
883	62896.09176
884	62878.08957
885	62865.53904
886	62849.75405
887	62841.04398
888	62829.11847
889	62808.75557
890	62796.53615
891	62774.61088
892	62757.81792
893	62746.03061
894	62735.29465
895	62717.30232
896	62704.98525
897	62685.94024
898	62665.2683
899	62652.94689
900	62637.95097
901	62628.6101
902	62613.06576
903	62600.84677
904	62588.85733
905	62571.18125
906	62554.62134
907	62534.09556
908	62520.74514
909	62511.99906
910	62498.92616
911	62481.96452
912	62462.72326
913	62447.8144
914	62433.60586
915	62424.80324
916	62407.17476
917	62383.78433
918	62361.92663
919	62348.67084
920	62331.24601
921	62322.19291
922	62306.42009
923	62291.29818
924	62270.26265
925	62261.06242
926	62245.94987
927	62227.68971
928	62211.31907
929	62196.19174
930	62183.38093
931	62166.66855
932	62145.45767
933	62129.20092
934	62113.36785
935	62093.09312
936	62084.4761
937	62072.17742
938	62060.15002
939	62046.64796
940	62032.8005
941	62014.96723
942	62001.80909
943	61988.8273
944	61980.26418
945	61962.10963
946	61947.67044
947	61917.18696
948	61904.01337
949	61887.5397
950	61877.03272
951	61862.53495
952	61847.39214
953	61820.12633
954	61807.1568
955	61790.22426
956	61775.38601
957	61763.21827
958	61744.66875
959	61736.41865
960	61718.72456
961	61707.28067
962	61676.87971
963	61651.86774
964	61624.49404
965	61609.37313
966	61593.63516
967	61577.71368
968	61567.49565
969	61557.79759
970	61545.06923
971	61522.53394
972	61507.66682
973	61496.94405
974	61481.82738
975	61463.6168
976	61449.22877
977	61439.65035
978	61428.94086
979	61417.47722
980	61404.85251
981	61393.24395
982	61378.51497
983	61368.4361
984	61352.82366
985	61340.28907
986	61310.75955
987	61296.07288
988	61274.30093
989	61257.26356
990	61242.49431
991	61229.46376
992	61221.27494
993	61209.07128
994	61194.45681
995	61180.79872
996	61170.70129
997	61163.96889
998	61146.13153
999	61122.88764
